Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Length
Q02878	RL6_HUMAN	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	IPR000915;IPR014722;IPR005568;IPR008991;	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of transcription, DNA-templated [GO:0006355]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]	cadherin binding [GO:0045296]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	288
P18124	RL7_HUMAN	reviewed	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	RPL7	Homo sapiens (Human)	IPR036919;IPR018038;IPR016082;IPR012988;IPR005998;IPR035808;	cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	DNA binding [GO:0003677]; mRNA binding [GO:0003729]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	248
P62424	RL7A_HUMAN	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	IPR029064;IPR001921;IPR004038;IPR018492;IPR004037;	maturation of LSU-rRNA [GO:0000470]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	266
P62917	RL8_HUMAN	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	Homo sapiens (Human)	IPR012340;IPR022666;IPR014722;IPR002171;IPR023672;IPR022669;IPR022671;IPR014726;IPR008991;	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	257
P09651	ROA1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	Homo sapiens (Human)	IPR021662;IPR034845;IPR034803;IPR035979;IPR000504;	cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; nuclear import [GO:0051170]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA export from nucleus [GO:0006405]; RNA metabolic process [GO:0016070]; viral process [GO:0016032]	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752]	372
P22626	ROA2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	IPR034489;IPR034486;IPR035979;IPR000504;	G-quadruplex DNA unwinding [GO:0044806]; interleukin-12-mediated signaling pathway [GO:0035722]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA metabolic process [GO:0016070]; RNA transport [GO:0050658]	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]	353
P51991	ROA3_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	IPR034513;IPR034516;IPR035979;IPR000504;	mRNA splicing, via spliceosome [GO:0000398]; RNA metabolic process [GO:0016070]	catalytic step 2 spliceosome [GO:0071013]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	RNA binding [GO:0003723]	378
Q9P2E9	RRBP1_HUMAN	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	RRBP1 KIAA1398	Homo sapiens (Human)	IPR007794;	osteoblast differentiation [GO:0001649]; protein transport [GO:0015031]; translation [GO:0006412]	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; ribosome [GO:0005840]	receptor activity [GO:0004872]; RNA binding [GO:0003723]	1410
Q5JTH9	RRP12_HUMAN	reviewed	RRP12-like protein	RRP12 KIAA0690	Homo sapiens (Human)	IPR011989;IPR016024;IPR012978;		integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]	RNA binding [GO:0003723]	1297
Q14684	RRP1B_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	RRP1B KIAA0179	Homo sapiens (Human)	IPR010301;	apoptotic process [GO:0006915]; cellular response to virus [GO:0098586]; mRNA processing [GO:0006397]; negative regulation of GTPase activity [GO:0034260]; negative regulation of phosphatase activity [GO:0010923]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]	cytosol [GO:0005829]; euchromatin [GO:0000791]; granular component [GO:0001652]; heterochromatin [GO:0000792]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; preribosome, small subunit precursor [GO:0030688]	RNA binding [GO:0003723]; RNA polymerase II transcription coactivator activity [GO:0001105]	758
Q14690	RRP5_HUMAN	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	PDCD11 KIAA0185	Homo sapiens (Human)	IPR003107;IPR012340;IPR022967;IPR003029;IPR008847;IPR013026;IPR011990;	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]	RNA binding [GO:0003723]; transcription factor binding [GO:0008134]	1871
P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	IPR012340;IPR032440;IPR000266;IPR028333;IPR019979;	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; osteoblast differentiation [GO:0001649]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	158
P15880	RS2_HUMAN	reviewed	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	RPS2 RPS4	Homo sapiens (Human)	IPR000851;IPR005324;IPR020568;IPR014721;IPR005711;IPR013810;IPR018192;	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transferase activity [GO:0051347]; protein methylation [GO:0006479]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; fibroblast growth factor binding [GO:0017134]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	293
P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	IPR015946;IPR004044;IPR009019;IPR001351;IPR036419;IPR018280;IPR005703;	apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; cytoplasmic translation [GO:0002181]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to oxidative stress [GO:0006979]; response to TNF agonist [GO:0061481]; rRNA processing [GO:0006364]; spindle assembly [GO:0051225]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; transcription, DNA-templated [GO:0006351]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]	class I DNA-(apurinic or apyrimidinic site) lyase activity [GO:0140078]; class III/IV DNA-(apurinic or apyrimidinic site) lyase activity [GO:0140080]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; iron-sulfur cluster binding [GO:0051536]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein complex binding [GO:0032403]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; transcription factor binding [GO:0008134]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]	243
P61247	RS3A_HUMAN	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	IPR027500;IPR001593;IPR018281;	cell differentiation [GO:0030154]; cytoplasmic translation [GO:0002181]; negative regulation of apoptotic process [GO:0043066]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	264
P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	IPR014401;IPR001377;IPR018282;	activation-induced cell death of T cells [GO:0006924]; erythrocyte development [GO:0048821]; G1/S transition of mitotic cell cycle [GO:0000082]; gastrulation [GO:0007369]; glucose homeostasis [GO:0042593]; mitotic cell cycle checkpoint [GO:0007093]; negative regulation of apoptotic process [GO:0043066]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; oogenesis stage [GO:0022605]; placenta development [GO:0001890]; positive regulation of apoptotic process [GO:0043065]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; T cell differentiation in thymus [GO:0033077]; T cell proliferation involved in immune response [GO:0002309]; TOR signaling [GO:0031929]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	cell body [GO:0044297]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; small ribosomal subunit [GO:0015935]	protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	249
P23246	SFPQ_HUMAN	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	IPR012975;IPR034526;IPR034525;IPR035979;IPR000504;	activation of innate immune response [GO:0002218]; alternative mRNA splicing, via spliceosome [GO:0000380]; double-strand break repair via homologous recombination [GO:0000724]; histone H3 deacetylation [GO:0070932]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of sister chromatid cohesion [GO:0045876]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]	chromatin [GO:0000785]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; RNA polymerase II transcription factor complex [GO:0090575]	chromatin binding [GO:0003682]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	707
Q7KZF4	SND1_HUMAN	reviewed	Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	IPR016685;IPR035437;IPR016071;IPR002071;IPR002999;	gene silencing by RNA [GO:0031047]; osteoblast differentiation [GO:0001649]; regulation of transcription, DNA-templated [GO:0006355]; RNA catabolic process [GO:0006401]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RISC complex [GO:0016442]	cadherin binding [GO:0045296]; nuclease activity [GO:0004518]; RNA binding [GO:0003723]; transcription cofactor activity [GO:0003712]	910
Q8IY81	SPB1_HUMAN	reviewed	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	Homo sapiens (Human)	IPR011989;IPR015507;IPR012920;IPR024576;IPR002877;IPR029063;IPR028589;	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; rRNA methylation [GO:0031167]	nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	RNA binding [GO:0003723]; rRNA (guanine) methyltransferase activity [GO:0016435]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]	847
Q13148	TADBP_HUMAN	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	IPR035979;IPR000504;	3'-UTR-mediated mRNA stabilization [GO:0070935]; mRNA processing [GO:0006397]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of gene expression [GO:0010629]; negative regulation of protein phosphorylation [GO:0001933]; nuclear inner membrane organization [GO:0071765]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; RNA splicing [GO:0008380]; transcription from RNA polymerase II promoter [GO:0006366]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	414
Q13428	TCOF_HUMAN	reviewed	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	IPR006594;IPR003993;IPR017859;	neural crest cell development [GO:0014032]; neural crest formation [GO:0014029]; regulation of translation [GO:0006417]; skeletal system development [GO:0001501]	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleus [GO:0005634]	protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; RNA polymerase I core binding [GO:0001042]; scaffold protein binding [GO:0097110]; transporter activity [GO:0005215]	1488
Q5QJE6	TDIF2_HUMAN	reviewed	Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2)	DNTTIP2 ERBP TDIF2	Homo sapiens (Human)	IPR014810;	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	nucleolus [GO:0005730]; nucleus [GO:0005634]	RNA binding [GO:0003723]	756
Q14157	UBP2L_HUMAN	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	UBAP2L KIAA0144 NICE4	Homo sapiens (Human)	IPR022166;IPR015940;IPR009060;	binding of sperm to zona pellucida [GO:0007339]; hematopoietic stem cell homeostasis [GO:0061484]; positive regulation of gene expression [GO:0010628]	cytoplasm [GO:0005737]; PcG protein complex [GO:0031519]	RNA binding [GO:0003723]	1087
Q9BVJ6	UT14A_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	UTP14A SDCCAG16	Homo sapiens (Human)	IPR006709;	maturation of SSU-rRNA [GO:0030490]; rRNA processing [GO:0006364]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	RNA binding [GO:0003723]	771
O75691	UTP20_HUMAN	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	Homo sapiens (Human)	IPR011989;IPR016024;IPR011430;	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; negative regulation of cell proliferation [GO:0008285]; rRNA processing [GO:0006364]	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]	RNA binding [GO:0003723]	2785
P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	IPR019844;IPR011129;IPR002059;IPR012340;	CRD-mediated mRNA stabilization [GO:0070934]; in utero embryonic development [GO:0001701]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of striated muscle cell differentiation [GO:0051154]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cell division [GO:0051781]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein localization to cytoplasmic stress granule [GO:1903608]; regulation of transcription, DNA-templated [GO:0006355]; transcription from RNA polymerase II promoter [GO:0006366]	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U12-type spliceosomal complex [GO:0005689]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; GTPase binding [GO:0051020]; RNA binding [GO:0003723]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]	324
