Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
P31483	reviewed	Nucleolysin TIA-1 isoform p40 (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	Homo sapiens (Human)	386	TIA1	TIA1_HUMAN
Q01085	reviewed	Nucleolysin TIAR (TIA-1-related protein)	Homo sapiens (Human)	375	TIAL1	TIAR_HUMAN
Q9Y490	reviewed	Talin-1	Homo sapiens (Human)	2541	TLN1	TLN1_HUMAN
P11387	reviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I)	Homo sapiens (Human)	765	TOP1	TOP1_HUMAN
Q9Y2W1	reviewed	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Homo sapiens (Human)	955	THRAP3	TR150_HUMAN
Q13595	reviewed	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	Homo sapiens (Human)	282	TRA2A	TRA2A_HUMAN
P62995	reviewed	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	Homo sapiens (Human)	288	TRA2B	TRA2B_HUMAN
P07477	reviewed	Trypsin-1 (EC 3.4.21.4) (Beta-trypsin) (Cationic trypsinogen) (Serine protease 1) (Trypsin I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	Homo sapiens (Human)	247	PRSS1	TRY1_HUMAN
P07478	reviewed	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	Homo sapiens (Human)	247	PRSS2	TRY2_HUMAN
P26368	reviewed	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	Homo sapiens (Human)	475	U2AF2	U2AF2_HUMAN
Q5T6F2	reviewed	Ubiquitin-associated protein 2 (UBAP-2)	Homo sapiens (Human)	1119	UBAP2	UBAP2_HUMAN
P17480	reviewed	Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1)	Homo sapiens (Human)	764	UBTF	UBF1_HUMAN
Q14157	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	Homo sapiens (Human)	1087	UBAP2L	UBP2L_HUMAN
Q9BVJ6	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	Homo sapiens (Human)	771	UTP14A	UT14A_HUMAN
Q15904	reviewed	V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1)	Homo sapiens (Human)	470	ATP6AP1	VAS1_HUMAN
P45880	reviewed	Voltage-dependent anion-selective channel protein 2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2)	Homo sapiens (Human)	294	VDAC2	VDAC2_HUMAN
Q00341	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Homo sapiens (Human)	1268	HDLBP	VIGLN_HUMAN
P08670	reviewed	Vimentin	Homo sapiens (Human)	466	VIM	VIME_HUMAN
Q15061	reviewed	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	Homo sapiens (Human)	677	WDR43	WDR43_HUMAN
Q8IWA0	reviewed	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	Homo sapiens (Human)	830	WDR75	WDR75_HUMAN
P13010	reviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	Homo sapiens (Human)	732	XRCC5	XRCC5_HUMAN
P12956	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	Homo sapiens (Human)	609	XRCC6	XRCC6_HUMAN
Q9H0D6	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	Homo sapiens (Human)	950	XRN2	XRN2_HUMAN
P67809	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	Homo sapiens (Human)	324	YBX1	YBOX1_HUMAN
P16989	reviewed	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	Homo sapiens (Human)	372	YBX3	YBOX3_HUMAN
P49750	reviewed	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	Homo sapiens (Human)	2146	YLPM1	YLPM1_HUMAN
Q7Z739	reviewed	YTH domain-containing family protein 3	Homo sapiens (Human)	585	YTHDF3	YTHD3_HUMAN
Q8WU90	reviewed	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)	Homo sapiens (Human)	426	ZC3H15	ZC3HF_HUMAN
Q7Z2W4	reviewed	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	Homo sapiens (Human)	902	ZC3HAV1	ZCCHV_HUMAN
Q96KR1	reviewed	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	Homo sapiens (Human)	1074	ZFR	ZFR_HUMAN
Q5BKZ1	reviewed	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1)	Homo sapiens (Human)	582	ZNF326	ZN326_HUMAN
O95218	reviewed	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	Homo sapiens (Human)	330	ZRANB2	ZRAB2_HUMAN
Q15942	reviewed	Zyxin (Zyxin-2)	Homo sapiens (Human)	572	ZYX	ZYX_HUMAN
