yourlist:M20180831A7434721E10EE6586998A056CCD0537EA81BDB8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
PA2G4_HUMAN	Q9UQ80	PA2G4_HUMAN	reviewed	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)	394
PABP1_HUMAN	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	636
PABP4_HUMAN	Q13310	PABP4_HUMAN	reviewed	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4	Homo sapiens (Human)	644
PABP2_HUMAN	Q86U42	PABP2_HUMAN	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	PABPN1 PAB2 PABP2	Homo sapiens (Human)	306
PAF1_HUMAN	Q8N7H5	PAF1_HUMAN	reviewed	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	PAF1 PD2	Homo sapiens (Human)	531
PUR6_HUMAN	P22234	PUR6_HUMAN	reviewed	Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	425
PALLD_HUMAN	Q8WX93	PALLD_HUMAN	reviewed	Palladin (SIH002) (Sarcoma antigen NY-SAR-77)	PALLD KIAA0992 CGI-151	Homo sapiens (Human)	1383
PARP1_HUMAN	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
PCBP1_HUMAN	Q15365	PCBP1_HUMAN	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	PCBP1	Homo sapiens (Human)	356
PCBP2_HUMAN	Q15366	PCBP2_HUMAN	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	365
RRP5_HUMAN	Q14690	RRP5_HUMAN	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	PDCD11 KIAA0185	Homo sapiens (Human)	1871
PDC6I_HUMAN	Q8WUM4	PDC6I_HUMAN	reviewed	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	PDCD6IP AIP1 ALIX KIAA1375	Homo sapiens (Human)	868
PDIA3_HUMAN	P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
PDIA4_HUMAN	P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645
PDIA6_HUMAN	Q15084	PDIA6_HUMAN	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	PDIA6 ERP5 P5 TXNDC7	Homo sapiens (Human)	440
PDS5A_HUMAN	Q29RF7	PDS5A_HUMAN	reviewed	Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)	PDS5A KIAA0648 PDS5 PIG54	Homo sapiens (Human)	1337
PEBP1_HUMAN	P30086	PEBP1_HUMAN	reviewed	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187
PESC_HUMAN	O00541	PESC_HUMAN	reviewed	Pescadillo homolog	PES1	Homo sapiens (Human)	588
PUR4_HUMAN	O15067	PUR4_HUMAN	reviewed	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	PFAS KIAA0361	Homo sapiens (Human)	1338
PROF1_HUMAN	P07737	PROF1_HUMAN	reviewed	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	Homo sapiens (Human)	140
PGAM2_HUMAN	P15259	PGAM2_HUMAN	reviewed	Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2) (Muscle-specific phosphoglycerate mutase) (Phosphoglycerate mutase isozyme M) (PGAM-M)	PGAM2 PGAMM	Homo sapiens (Human)	253
6PGD_HUMAN	P52209	6PGD_HUMAN	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	483
PGK1_HUMAN	P00558	PGK1_HUMAN	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417
PHB_HUMAN	P35232	PHB_HUMAN	reviewed	Prohibitin	PHB	Homo sapiens (Human)	272
SERA_HUMAN	O43175	SERA_HUMAN	reviewed	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH PGDH3	Homo sapiens (Human)	533
KPYM_HUMAN	P14618	KPYM_HUMAN	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531
PLAP_HUMAN	Q9Y263	PLAP_HUMAN	reviewed	Phospholipase A-2-activating protein (PLA2P) (PLAP)	PLAA PLAP	Homo sapiens (Human)	795
PLEC_HUMAN	Q15149	PLEC_HUMAN	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684
PININ_HUMAN	Q9H307	PININ_HUMAN	reviewed	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	Homo sapiens (Human)	717
PODXL_HUMAN	O00592	PODXL_HUMAN	reviewed	Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	PODXL PCLP PCLP1	Homo sapiens (Human)	558
PDIP3_HUMAN	Q9BY77	PDIP3_HUMAN	reviewed	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR)	POLDIP3 KIAA1649 PDIP46	Homo sapiens (Human)	421
RPB1_HUMAN	P24928	RPB1_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit) (RNA-directed RNA polymerase II subunit RPB1) (EC 2.7.7.48)	POLR2A POLR2	Homo sapiens (Human)	1970
RPB2_HUMAN	P30876	RPB2_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2)	POLR2B	Homo sapiens (Human)	1174
IPYR_HUMAN	Q15181	IPYR_HUMAN	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA1 IOPPP PP	Homo sapiens (Human)	289
SSF1_HUMAN	Q9NQ55	SSF1_HUMAN	reviewed	Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog)	PPAN BXDC3 SSF1	Homo sapiens (Human)	473
PPIA_HUMAN	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
PPIB_HUMAN	P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
PP1RA_HUMAN	Q96QC0	PP1RA_HUMAN	reviewed	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99)	PPP1R10 CAT53 FB19 PNUTS	Homo sapiens (Human)	940
2AAA_HUMAN	P30153	2AAA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589
PRDX1_HUMAN	Q06830	PRDX1_HUMAN	reviewed	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	199
PRDX3_HUMAN	P30048	PRDX3_HUMAN	reviewed	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog)	PRDX3 AOP1	Homo sapiens (Human)	256
PRDX4_HUMAN	Q13162	PRDX4_HUMAN	reviewed	Peroxiredoxin-4 (EC 1.11.1.15) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372)	PRDX4	Homo sapiens (Human)	271
PRDX6_HUMAN	P30041	PRDX6_HUMAN	reviewed	Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Liver 2D page spot 40) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12)	PRDX6 AOP2 KIAA0106	Homo sapiens (Human)	224
PRKDC_HUMAN	P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
PRP31_HUMAN	Q8WWY3	PRP31_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)	PRPF31 PRP31	Homo sapiens (Human)	499
PR40A_HUMAN	O75400	PR40A_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
PRP8_HUMAN	Q6P2Q9	PRP8_HUMAN	reviewed	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	PRPF8 PRPC8	Homo sapiens (Human)	2335
PRC2A_HUMAN	P48634	PRC2A_HUMAN	reviewed	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	PRRC2A BAT2 G2	Homo sapiens (Human)	2157
PRC2C_HUMAN	Q9Y520	PRC2C_HUMAN	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	PRRC2C BAT2D1 BAT2L2 KIAA1096 XTP2	Homo sapiens (Human)	2896
TRY1_HUMAN	P07477	TRY1_HUMAN	reviewed	Trypsin-1 (EC 3.4.21.4) (Beta-trypsin) (Cationic trypsinogen) (Serine protease 1) (Trypsin I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	PRSS1 TRP1 TRY1 TRYP1	Homo sapiens (Human)	247
TRY3_HUMAN	P35030	TRY3_HUMAN	reviewed	Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)	PRSS3 PRSS4 TRY3 TRY4	Homo sapiens (Human)	304
PSMD2_HUMAN	Q13200	PSMD2_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	Homo sapiens (Human)	908
PSPC1_HUMAN	Q8WXF1	PSPC1_HUMAN	reviewed	Paraspeckle component 1 (Paraspeckle protein 1)	PSPC1 PSP1	Homo sapiens (Human)	523
PTBP1_HUMAN	P26599	PTBP1_HUMAN	reviewed	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1 PTB	Homo sapiens (Human)	531
PTBP2_HUMAN	Q9UKA9	PTBP2_HUMAN	reviewed	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	PTBP2 NPTB PTB PTBLP	Homo sapiens (Human)	531
PTBP3_HUMAN	O95758	PTBP3_HUMAN	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	PTBP3 ROD1	Homo sapiens (Human)	552
PUF60_HUMAN	Q9UHX1	PUF60_HUMAN	reviewed	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	PUF60 FIR ROBPI SIAHBP1	Homo sapiens (Human)	559
PUM1_HUMAN	Q14671	PUM1_HUMAN	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	1186
PUM2_HUMAN	Q8TB72	PUM2_HUMAN	reviewed	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)	1066
PUM3_HUMAN	Q15397	PUM3_HUMAN	reviewed	Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8)	PUM3 cPERP-C KIAA0020 PUF-A XTP5	Homo sapiens (Human)	648
PURA_HUMAN	Q00577	PURA_HUMAN	reviewed	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA PUR1	Homo sapiens (Human)	322
PURB_HUMAN	Q96QR8	PURB_HUMAN	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312
PWP2_HUMAN	Q15269	PWP2_HUMAN	reviewed	Periodic tryptophan protein 2 homolog	PWP2 PWP2H	Homo sapiens (Human)	919
SYQ_HUMAN	P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS	Homo sapiens (Human)	775
RAB1A_HUMAN	P62820	RAB1A_HUMAN	reviewed	Ras-related protein Rab-1A (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	205
RGAP1_HUMAN	Q9H0H5	RGAP1_HUMAN	reviewed	Rac GTPase-activating protein 1 (Male germ cell RacGap) (MgcRacGAP) (Protein CYK4 homolog) (CYK4) (HsCYK-4)	RACGAP1 KIAA1478 MGCRACGAP	Homo sapiens (Human)	632
RACK1_HUMAN	P63244	RACK1_HUMAN	reviewed	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
RALY_HUMAN	Q9UKM9	RALY_HUMAN	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542	Homo sapiens (Human)	306
RALYL_HUMAN	Q86SE5	RALYL_HUMAN	reviewed	RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3)	RALYL HNRPCL3	Homo sapiens (Human)	291
RAN_HUMAN	P62826	RAN_HUMAN	reviewed	GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216
RBP2_HUMAN	P49792	RBP2_HUMAN	reviewed	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358	Homo sapiens (Human)	3224
SYRC_HUMAN	P54136	SYRC_HUMAN	reviewed	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS	Homo sapiens (Human)	660
RAVR1_HUMAN	Q8IY67	RAVR1_HUMAN	reviewed	Ribonucleoprotein PTB-binding 1 (Protein raver-1)	RAVER1 KIAA1978	Homo sapiens (Human)	606
RFOX1_HUMAN	Q9NWB1	RFOX1_HUMAN	reviewed	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	RBFOX1 A2BP A2BP1 FOX1 HRNBP1	Homo sapiens (Human)	397
RBM12_HUMAN	Q9NTZ6	RBM12_HUMAN	reviewed	RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN)	RBM12 KIAA0765 HRIHFB2091	Homo sapiens (Human)	932
RBM14_HUMAN	Q96PK6	RBM14_HUMAN	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	669
RBM15_HUMAN	Q96T37	RBM15_HUMAN	reviewed	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	RBM15 OTT OTT1	Homo sapiens (Human)	977
RBM19_HUMAN	Q9Y4C8	RBM19_HUMAN	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)	960
RBM22_HUMAN	Q9NW64	RBM22_HUMAN	reviewed	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4	Homo sapiens (Human)	420
RBM24_HUMAN	Q9BX46	RBM24_HUMAN	reviewed	RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding region-containing protein 6)	RBM24 RNPC6	Homo sapiens (Human)	236
RBM28_HUMAN	Q9NW13	RBM28_HUMAN	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	759
RBM3_HUMAN	P98179	RBM3_HUMAN	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)	RBM3 RNPL	Homo sapiens (Human)	157
RBM34_HUMAN	P42696	RBM34_HUMAN	reviewed	RNA-binding protein 34 (RNA-binding motif protein 34)	RBM34 KIAA0117	Homo sapiens (Human)	430
RBM39_HUMAN	Q14498	RBM39_HUMAN	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	RBM39 HCC1 RNPC2	Homo sapiens (Human)	530
RBM4_HUMAN	Q9BWF3	RBM4_HUMAN	reviewed	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4 RBM4A	Homo sapiens (Human)	364
RBM7_HUMAN	Q9Y580	RBM7_HUMAN	reviewed	RNA-binding protein 7 (RNA-binding motif protein 7)	RBM7	Homo sapiens (Human)	266
RBMS2_HUMAN	Q15434	RBMS2_HUMAN	reviewed	RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)	RBMS2 SCR3	Homo sapiens (Human)	407
RBMS3_HUMAN	Q6XE24	RBMS3_HUMAN	reviewed	RNA-binding motif, single-stranded-interacting protein 3	RBMS3	Homo sapiens (Human)	437
RBMX_HUMAN	P38159	RBMX_HUMAN	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391
RMXL1_HUMAN	Q96E39	RMXL1_HUMAN	reviewed	RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1)	RBMXL1	Homo sapiens (Human)	390
RINI_HUMAN	P13489	RINI_HUMAN	reviewed	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461
RNPS1_HUMAN	Q15287	RNPS1_HUMAN	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
RL10_HUMAN	P27635	RL10_HUMAN	reviewed	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214
RL11_HUMAN	P62913	RL11_HUMAN	reviewed	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	RPL11	Homo sapiens (Human)	178
RL12_HUMAN	P30050	RL12_HUMAN	reviewed	60S ribosomal protein L12 (Large ribosomal subunit protein uL11)	RPL12	Homo sapiens (Human)	165
RL13_HUMAN	P26373	RL13_HUMAN	reviewed	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	211
RL13A_HUMAN	P40429	RL13A_HUMAN	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	RPL13A	Homo sapiens (Human)	203
RL14_HUMAN	P50914	RL14_HUMAN	reviewed	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	RPL14	Homo sapiens (Human)	215
RL17_HUMAN	P18621	RL17_HUMAN	reviewed	60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1)	RPL17	Homo sapiens (Human)	184
RL18_HUMAN	Q07020	RL18_HUMAN	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18	Homo sapiens (Human)	188
RL18A_HUMAN	Q02543	RL18A_HUMAN	reviewed	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A	Homo sapiens (Human)	176
RL19_HUMAN	P84098	RL19_HUMAN	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19	Homo sapiens (Human)	196
RL21_HUMAN	P46778	RL21_HUMAN	reviewed	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	RPL21	Homo sapiens (Human)	160
RL22_HUMAN	P35268	RL22_HUMAN	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22	Homo sapiens (Human)	128
RL22L_HUMAN	Q6P5R6	RL22L_HUMAN	reviewed	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)	RPL22L1	Homo sapiens (Human)	122
RL23_HUMAN	P62829	RL23_HUMAN	reviewed	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	RPL23	Homo sapiens (Human)	140
RL23A_HUMAN	P62750	RL23A_HUMAN	reviewed	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	RPL23A	Homo sapiens (Human)	156
RL24_HUMAN	P83731	RL24_HUMAN	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24	Homo sapiens (Human)	157
RL27_HUMAN	P61353	RL27_HUMAN	reviewed	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	RPL27	Homo sapiens (Human)	136
RL27A_HUMAN	P46776	RL27A_HUMAN	reviewed	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	RPL27A	Homo sapiens (Human)	148
RL29_HUMAN	P47914	RL29_HUMAN	reviewed	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	RPL29	Homo sapiens (Human)	159
