yourlist:M20180828A7434721E10EE6586998A056CCD0537EA67279F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
PDIA3_HUMAN	P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
PDIP3_HUMAN	Q9BY77	PDIP3_HUMAN	reviewed	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR)	POLDIP3 KIAA1649 PDIP46	Homo sapiens (Human)	421
RS15_HUMAN	P62841	RS15_HUMAN	reviewed	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	RPS15 RIG	Homo sapiens (Human)	145
RL23_HUMAN	P62829	RL23_HUMAN	reviewed	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	RPL23	Homo sapiens (Human)	140
DDX47_HUMAN	Q9H0S4	DDX47_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455
PABP2_HUMAN	Q86U42	PABP2_HUMAN	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	PABPN1 PAB2 PABP2	Homo sapiens (Human)	306
RL10_HUMAN	P27635	RL10_HUMAN	reviewed	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214
ESRP2_HUMAN	Q9H6T0	ESRP2_HUMAN	reviewed	Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)	ESRP2 RBM35B PP7059	Homo sapiens (Human)	727
RS18_HUMAN	P62269	RS18_HUMAN	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152
EXOSX_HUMAN	Q01780	EXOSX_HUMAN	reviewed	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)	885
AL3A2_HUMAN	P51648	AL3A2_HUMAN	reviewed	Fatty aldehyde dehydrogenase (EC 1.2.1.3) (Aldehyde dehydrogenase 10) (Aldehyde dehydrogenase family 3 member A2) (Microsomal aldehyde dehydrogenase)	ALDH3A2 ALDH10 FALDH	Homo sapiens (Human)	485
RM01_HUMAN	Q9BYD6	RM01_HUMAN	reviewed	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)	MRPL1 BM-022	Homo sapiens (Human)	325
FA98A_HUMAN	Q8NCA5	FA98A_HUMAN	reviewed	Protein FAM98A	FAM98A	Homo sapiens (Human)	519
SRS10_HUMAN	O75494	SRS10_HUMAN	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
NSA2_HUMAN	O95478	NSA2_HUMAN	reviewed	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	NSA2 TINP1 HUSSY-29	Homo sapiens (Human)	260
DDX50_HUMAN	Q9BQ39	DDX50_HUMAN	reviewed	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	DDX50	Homo sapiens (Human)	737
RS13_HUMAN	P62277	RS13_HUMAN	reviewed	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13	Homo sapiens (Human)	151
SF3A1_HUMAN	Q15459	SF3A1_HUMAN	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	SF3A1 SAP114	Homo sapiens (Human)	793
IF4A3_HUMAN	P38919	IF4A3_HUMAN	reviewed	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111	Homo sapiens (Human)	411
RL21_HUMAN	P46778	RL21_HUMAN	reviewed	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	RPL21	Homo sapiens (Human)	160
HSP74_HUMAN	P34932	HSP74_HUMAN	reviewed	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)	HSPA4 APG2	Homo sapiens (Human)	840
IQGA1_HUMAN	P46940	IQGA1_HUMAN	reviewed	Ras GTPase-activating-like protein IQGAP1 (p195)	IQGAP1 KIAA0051	Homo sapiens (Human)	1657
